,Topics of Gita,Gita Topic ID,Most Similar topics in Upanishads,Upanishads Topic ID,Similarity Score
0,"krishna,jayadratha,shraddha,ahamkara,arjuna,ikshvaku,sankhya,ashvattha,kusha,vishnu,vaishya,kshatriya,duryodhana,yuyudhana,devotee,bhishma,buddhi,sattva,kamadhuk,devotees,adhyatma,brahma,chitraratha,kshatriyas,vedic,akasha,purusha,yudhamanyu,yudhishthira,dharma,brihaspati,sanjaya,sacred,rajasic,shikhandi,bhima,adhidaiva,pritha,shaibya,kashi,gandharvas,duryodhanas,devote,draupadi,mantram,brahman,samadhi,adhibhuta,dhrishtadyumna,gods",0,"consciousness,cognitive,cognition,conscious,awareness,consciously,superconscious,wisdom,mindedness,unconscious,selfsame,self,autonomic,intellectual,realizing,realize,mentally,selfless,selfs,intellect,intellectu,ignorance,ego,selflessly,selfish,oneself,thyself,egoism,aware,himself,nonintellectual,selves,themselves,realizes,minds,mental,spiritual,spiritually,itself,knowledge,spirituality,yourself,sensory,ignorant,intuition,instinct,recognize,intelligence,yourselves,unknowing",9,0.7710278
1,"selfless,selflessly,selfish,selfishly,desires,unkindness,desire,suffering,greed,themselves,compassion,ego,self,devotees,fulfill,insatiable,happiness,desirer,nonbeing,oneself,compassionate,beings,worships,sinful,fulfills,devotion,misery,miserable,eternal,fulfilling,nonexistence,eternity,asceticism,loving,worship,egotistical,spiritual,spiritually,himself,myself,sin,devotee,heedlessness,lust,passions,sorrow,immortality,beloved,unpleasant,infatuated",1,"heart,omniscient,divine,love,soul,loving,omnipotent,hearts,loveliness,loves,deity,worship,spiritually,spiritual,oneself,loved,thyself,himself,beloved,itself,divinized,eternal,heavenly,yourselves,ego,supreme,supremely,godless,selfless,god,devotion,eternity,devotional,self,spirituality,heaven,deities,forever,gods,selfsame,selflessly,all,own,yourself,worshipping,ourselves,myself,sacred,everlasting,majesty",2,0.6460279
2,"worships,worship,devotion,devotees,eternal,myself,beings,eternity,spiritually,spiritual,divine,devotee,gods,immortality,selfless,heaven,asceticism,selflessly,themselves,everlasting,devote,heavenly,celestial,fulfill,fulfilling,evenness,self,soul,glories,heavens,wisdom,souls,fulfills,me,beloved,admiration,humility,demigods,loyalty,everyone,totality,compassion,faith,righteous,selfishly,blessing,ego,sacred,ahamkara,reverence",2,"buddhism,bhagavad,buddhi,sanskrit,mahabharata,hindu,gandhara,hinduism,samashrava,mantram,sankhya,satyakama,scholar,dharma,satyagraha,gandhi,sages,gandharva,spiritual,satyavaha,gandhis,teachings,samadhi,satyavacha,disciple,ashram,shraddha,divine,mantrams,disciples,gandhian,shama,scholars,priest,sacred,spirituality,vaishvanara,teach,spiritually,shankara,teaches,akshara,svamin,deity,shankaras,dharmas,taught,upanishad,gandharvas,verse",3,0.68675184
3,"meditation,meditate,spiritually,spiritual,yoga,minds,asceticism,spirit,nirvana,wisdom,oneself,selflessly,inner,mind,selfless,consciousness,buddhi,dharma,contemplative,self,krishna,selfishly,calmness,devotee,devotion,cheerfulness,duryodhana,soul,spirits,serene,devote,eternal,devotees,yuyudhana,solitude,sankhya,teachings,attaining,eternity,selfish,conscious,jayadratha,shraddha,mantram,thoughtless,attain,liberation,worship,nonbeing,selfrealization",3,"sunrise,lightning,sun,solar,fire,dawn,flame,fires,burning,starlight,moon,suns,light,daylight,burn,illumination,illuminating,burns,glow,illumine,thunder,torch,celestial,burned,lights,sparks,glowing,luminous,firestick,thundercloud,sky,illumined,blazing,cloud,lunar,heaven,shine,fireflies,clouds,heavens,firesticks,enlightenment,omniscient,shining,bright,universe,heavenly,darkness,earth,beacons",8,0.63964885
4,"immortality,death,mortality,immortal,deathless,eternity,eternal,dying,mortal,dead,mortals,dies,nonexistence,life,soul,born,lifetimes,existence,everlasting,lifes,souls,unborn,beings,lives,living,heaven,rebirth,lifegiving,invincible,suffering,reborn,birth,lived,heavens,forever,live,spiritual,killing,die,selfless,misery,spiritually,heavenly,sorrow,grieves,inevitable,grieve,killed,spirits,demonic",4,"immortality,immortal,deathlessness,deathless,everliving,death,eternal,mortality,eternity,dying,everlasting,forever,mortal,omniscient,dead,alive,selfless,existence,deaths,reincarnation,lives,died,mortals,lived,vivid,life,living,infinity,soul,survives,selflessly,consciousness,infinitude,dies,lifes,unborn,survive,endless,live,selfsame,infinite,oneself,self,itself,vividness,selfs,thyself,unconscious,surviving,himself",1,0.6655644
5,"gods,eternal,universe,beings,eternity,heavens,celestial,immortality,heavenly,divine,god,heaven,immortal,everlasting,soul,existence,earth,spiritual,souls,ahamkara,spiritually,demigods,spirits,darkness,cosmic,worships,totality,glories,spirit,cosmos,illumined,worship,nonexistence,worlds,glory,world,infinite,every,awakened,mankind,demons,demonic,vishnu,mortal,glorious,brahma,forever,lord,all,everything",5,"sunrise,lightning,sun,solar,fire,dawn,flame,fires,burning,starlight,moon,suns,light,daylight,burn,illumination,illuminating,burns,glow,illumine,thunder,torch,celestial,burned,lights,sparks,glowing,luminous,firestick,thundercloud,sky,illumined,blazing,cloud,lunar,heaven,shine,fireflies,clouds,heavens,firesticks,enlightenment,omniscient,shining,bright,universe,heavenly,darkness,earth,beacons",8,0.73861974
6,"brahman,wisdom,devotees,brahma,devotee,teachings,sages,worships,divine,devote,ahamkara,dharma,ashvattha,devotion,sage,worship,buddhi,blessing,wise,spiritually,mantram,vaishya,beings,sacred,blessed,gods,spiritual,reverence,shraddha,eternal,ikshvaku,jayadratha,asceticism,intellects,knowledge,yudhamanyu,vishnu,understanding,fulfill,intellectual,instruct,meditation,instructions,meditate,krishna,commanded,attains,guided,attain,praise",6,"immortality,immortal,deathlessness,deathless,everliving,death,eternal,mortality,eternity,dying,everlasting,forever,mortal,omniscient,dead,alive,selfless,existence,deaths,reincarnation,lives,died,mortals,lived,vivid,life,living,infinity,soul,survives,selflessly,consciousness,infinitude,dies,lifes,unborn,survive,endless,live,selfsame,infinite,oneself,self,itself,vividness,selfs,thyself,unconscious,surviving,himself",1,0.4933897
7,"existence,universe,beings,eternal,nonexistence,immortality,creatures,eternity,creature,cosmos,immortal,everlasting,exist,everything,totality,creation,gods,born,ahamkara,myself,cosmic,soul,nothing,selfless,exists,unborn,spiritual,reality,spiritually,selflessly,souls,earth,demigods,world,existed,worlds,life,divine,unity,inanimate,creator,celestial,unkindness,forever,spirit,heavens,all,every,infinite,spirits",7,"meditate,meditating,meditated,meditates,meditation,spiritually,spiritual,spirituality,buddhism,mindedness,consciousness,spirit,concentrates,buddhi,consciously,soul,prayer,conscious,wisdom,devotion,minds,realizing,omniscient,awareness,enlightenment,rahus,worshipping,worship,realize,devotional,prayers,desire,focused,mentally,mantram,realizes,profound,bhagavad,thinking,divine,desires,heart,pray,contemplating,superconscious,enlightened,contemplate,cognition,concentration,divinized",7,0.62705266
8,"ignorance,ignorant,wisdom,delusions,darkness,delusion,evils,intellects,eternal,asceticism,knowledge,evil,fearless,intellectual,sorrow,fearful,sinful,unwise,intellect,obscured,suffering,immortality,nonexistence,illumined,beings,wise,aware,fears,arrogance,ahamkara,sins,eternity,unkindness,invincible,immortal,unknown,deluded,sin,arrogant,fear,knowers,enemies,knower,profound,wrongdoing,belief,cruelty,devotees,greed,deceive",8,"meditate,meditating,meditated,meditates,meditation,spiritually,spiritual,spirituality,buddhism,mindedness,consciousness,spirit,concentrates,buddhi,consciously,soul,prayer,conscious,wisdom,devotion,minds,realizing,omniscient,awareness,enlightenment,rahus,worshipping,worship,realize,devotional,prayers,desire,focused,mentally,mantram,realizes,profound,bhagavad,thinking,divine,desires,heart,pray,contemplating,superconscious,enlightened,contemplate,cognition,concentration,divinized",7,0.62904066
9,"enemy,enemies,conquer,defeat,fight,fighting,conquered,battle,fought,nonviolence,dishonor,fearful,evil,surrender,fearless,fear,invincible,ahamkara,evils,forgiving,destroy,victory,victorious,fears,glories,destruction,brave,sacrifice,warrior,surrendering,destroying,honor,sacrificing,suffering,heroic,sorrow,devotion,sinful,anger,glory,win,overcomes,overcome,humility,destroyer,harm,forgiveness,afraid,lose,agni",9,"buddhism,bhagavad,buddhi,sanskrit,mahabharata,hindu,gandhara,hinduism,samashrava,mantram,sankhya,satyakama,scholar,dharma,satyagraha,gandhi,sages,gandharva,spiritual,satyavaha,gandhis,teachings,samadhi,satyavacha,disciple,ashram,shraddha,divine,mantrams,disciples,gandhian,shama,scholars,priest,sacred,spirituality,vaishvanara,teach,spiritually,shankara,teaches,akshara,svamin,deity,shankaras,dharmas,taught,upanishad,gandharvas,verse",3,0.543212
